Local time,Open,High,Low,Close
12.09.2020 04:00:00.000 GMT+0700,1938.928,1938.928,1938.928,1938.928
13.09.2020 04:00:00.000 GMT+0700,1938.928,1938.928,1938.928,1938.928
14.09.2020 04:00:00.000 GMT+0700,1940.548,1962.385,1937.018,1956.538
15.09.2020 04:00:00.000 GMT+0700,1956.998,1972.028,1948.278,1953.848
16.09.2020 04:00:00.000 GMT+0700,1953.048,1973.468,1949.798,1958.878
17.09.2020 04:00:00.000 GMT+0700,1958.918,1960.865,1932.745,1943.718
18.09.2020 04:00:00.000 GMT+0700,1943.648,1959.898,1943.548,1949.718
19.09.2020 04:00:00.000 GMT+0700,1949.718,1949.718,1949.718,1949.718
20.09.2020 04:00:00.000 GMT+0700,1949.718,1949.718,1949.718,1949.718
21.09.2020 04:00:00.000 GMT+0700,1949.588,1955.458,1882.375,1912.058
22.09.2020 04:00:00.000 GMT+0700,1912.448,1919.888,1894.458,1899.868
23.09.2020 04:00:00.000 GMT+0700,1900.008,1905.208,1855.678,1863.158
24.09.2020 04:00:00.000 GMT+0700,1863.348,1876.988,1848.635,1867.418
25.09.2020 04:00:00.000 GMT+0700,1867.648,1875.075,1852.298,1860.998
26.09.2020 04:00:00.000 GMT+0700,1860.998,1860.998,1860.998,1860.998
27.09.2020 04:00:00.000 GMT+0700,1860.998,1860.998,1860.998,1860.998
28.09.2020 04:00:00.000 GMT+0700,1859.448,1882.898,1848.455,1881.218
29.09.2020 04:00:00.000 GMT+0700,1880.848,1898.958,1875.308,1897.718
30.09.2020 04:00:00.000 GMT+0700,1898.028,1902.115,1881.238,1885.568
01.10.2020 04:00:00.000 GMT+0700,1885.538,1912.028,1884.555,1905.818
02.10.2020 04:00:00.000 GMT+0700,1904.978,1916.975,1889.638,1898.868
03.10.2020 04:00:00.000 GMT+0700,1898.868,1898.868,1898.868,1898.868
04.10.2020 04:00:00.000 GMT+0700,1898.868,1898.868,1898.868,1898.868
05.10.2020 04:00:00.000 GMT+0700,1903.828,1918.575,1886.898,1913.098
06.10.2020 04:00:00.000 GMT+0700,1912.568,1921.018,1874.558,1877.748
07.10.2020 04:00:00.000 GMT+0700,1878.368,1897.898,1872.748,1886.948
08.10.2020 04:00:00.000 GMT+0700,1886.638,1900.498,1881.938,1893.628
09.10.2020 04:00:00.000 GMT+0700,1893.538,1930.325,1893.378,1929.618
10.10.2020 04:00:00.000 GMT+0700,1929.618,1929.618,1929.618,1929.618
11.10.2020 04:00:00.000 GMT+0700,1929.618,1929.618,1929.618,1929.618
12.10.2020 04:00:00.000 GMT+0700,1928.788,1933.048,1918.158,1922.438
13.10.2020 04:00:00.000 GMT+0700,1922.578,1925.355,1886.308,1891.008
14.10.2020 04:00:00.000 GMT+0700,1891.078,1912.828,1882.395,1901.448
15.10.2020 04:00:00.000 GMT+0700,1901.538,1908.798,1889.438,1908.398
16.10.2020 04:00:00.000 GMT+0700,1908.208,1913.808,1897.658,1898.968
17.10.2020 04:00:00.000 GMT+0700,1898.968,1898.968,1898.968,1898.968
18.10.2020 04:00:00.000 GMT+0700,1898.968,1898.968,1898.968,1898.968
19.10.2020 04:00:00.000 GMT+0700,1899.668,1918.338,1896.878,1903.778
20.10.2020 04:00:00.000 GMT+0700,1903.498,1913.985,1894.618,1906.535
21.10.2020 04:00:00.000 GMT+0700,1907.788,1931.298,1907.788,1924.148
22.10.2020 04:00:00.000 GMT+0700,1923.798,1925.878,1894.208,1903.828
23.10.2020 04:00:00.000 GMT+0700,1903.638,1914.108,1894.198,1901.258
24.10.2020 04:00:00.000 GMT+0700,1901.258,1901.258,1901.258,1901.258
25.10.2020 04:00:00.000 GMT+0700,1901.258,1901.258,1901.258,1901.258
26.10.2020 04:00:00.000 GMT+0700,1903.298,1908.458,1891.135,1901.858
27.10.2020 04:00:00.000 GMT+0700,1901.658,1911.348,1897.718,1907.668
28.10.2020 04:00:00.000 GMT+0700,1907.758,1910.768,1869.208,1876.968
29.10.2020 04:00:00.000 GMT+0700,1876.488,1884.858,1859.868,1867.518
30.10.2020 04:00:00.000 GMT+0700,1865.898,1889.698,1864.258,1878.438
31.10.2020 04:00:00.000 GMT+0700,1878.438,1878.438,1878.438,1878.438
01.11.2020 04:00:00.000 GMT+0700,1878.438,1878.438,1878.438,1878.438
02.11.2020 05:00:00.000 GMT+0700,1876.928,1895.898,1873.308,1894.888
03.11.2020 05:00:00.000 GMT+0700,1895.148,1910.465,1886.835,1908.828
04.11.2020 05:00:00.000 GMT+0700,1908.738,1916.228,1880.635,1902.288
05.11.2020 05:00:00.000 GMT+0700,1903.038,1952.648,1902.028,1949.238
06.11.2020 05:00:00.000 GMT+0700,1948.378,1960.198,1935.468,1950.298
07.11.2020 05:00:00.000 GMT+0700,1950.298,1950.298,1950.298,1950.298
08.11.2020 05:00:00.000 GMT+0700,1950.298,1950.298,1950.298,1950.298
09.11.2020 05:00:00.000 GMT+0700,1954.688,1965.415,1850.398,1862.078
10.11.2020 05:00:00.000 GMT+0700,1864.078,1890.238,1860.138,1877.038
11.11.2020 05:00:00.000 GMT+0700,1876.858,1884.378,1856.208,1865.228
12.11.2020 05:00:00.000 GMT+0700,1864.598,1883.698,1862.588,1876.588
13.11.2020 05:00:00.000 GMT+0700,1876.928,1896.658,1873.978,1888.288
14.11.2020 05:00:00.000 GMT+0700,1888.288,1888.288,1888.288,1888.288
15.11.2020 05:00:00.000 GMT+0700,1888.288,1888.288,1888.288,1888.288
16.11.2020 05:00:00.000 GMT+0700,1888.138,1898.928,1864.498,1888.578
17.11.2020 05:00:00.000 GMT+0700,1888.663,1893.325,1876.735,1879.998
18.11.2020 05:00:00.000 GMT+0700,1879.988,1884.718,1863.508,1871.868
19.11.2020 05:00:00.000 GMT+0700,1872.068,1873.968,1852.568,1865.808
20.11.2020 05:00:00.000 GMT+0700,1865.668,1879.618,1860.908,1870.318
21.11.2020 05:00:00.000 GMT+0700,1870.318,1870.318,1870.318,1870.318
22.11.2020 05:00:00.000 GMT+0700,1870.318,1870.318,1870.318,1870.318
23.11.2020 05:00:00.000 GMT+0700,1869.943,1876.038,1830.778,1837.488
24.11.2020 05:00:00.000 GMT+0700,1838.138,1838.948,1799.988,1807.208
25.11.2020 05:00:00.000 GMT+0700,1806.838,1817.578,1801.495,1807.498
26.11.2020 05:00:00.000 GMT+0700,1807.608,1818.088,1805.634,1810.184
27.11.2020 05:00:00.000 GMT+0700,1809.463,1813.778,1774.218,1786.648
28.11.2020 05:00:00.000 GMT+0700,1786.648,1786.648,1786.648,1786.648
29.11.2020 05:00:00.000 GMT+0700,1786.648,1786.648,1786.648,1786.648
30.11.2020 05:00:00.000 GMT+0700,1787.208,1789.808,1764.245,1776.598
01.12.2020 05:00:00.000 GMT+0700,1776.291,1817.178,1775.685,1814.968
02.12.2020 05:00:00.000 GMT+0700,1815.028,1832.338,1807.405,1830.528
03.12.2020 05:00:00.000 GMT+0700,1830.178,1843.808,1823.648,1840.778
04.12.2020 05:00:00.000 GMT+0700,1840.258,1848.088,1828.988,1838.208
05.12.2020 05:00:00.000 GMT+0700,1838.208,1838.208,1838.208,1838.208
06.12.2020 05:00:00.000 GMT+0700,1838.208,1838.208,1838.208,1838.208
07.12.2020 05:00:00.000 GMT+0700,1838.528,1868.448,1821.808,1862.418
08.12.2020 05:00:00.000 GMT+0700,1862.248,1875.168,1860.148,1870.168
09.12.2020 05:00:00.000 GMT+0700,1870.578,1870.908,1825.363,1839.318
10.12.2020 05:00:00.000 GMT+0700,1839.578,1849.958,1828.528,1836.378
11.12.2020 05:00:00.000 GMT+0700,1835.948,1847.648,1823.843,1838.998
12.12.2020 05:00:00.000 GMT+0700,1838.998,1838.998,1838.998,1838.998
13.12.2020 05:00:00.000 GMT+0700,1838.998,1838.998,1838.998,1838.998
14.12.2020 05:00:00.000 GMT+0700,1840.698,1841.288,1818.268,1826.798
15.12.2020 05:00:00.000 GMT+0700,1827.588,1855.242,1825.348,1852.938
16.12.2020 05:00:00.000 GMT+0700,1852.774,1865.658,1844.663,1864.118
17.12.2020 05:00:00.000 GMT+0700,1863.808,1896.118,1861.898,1885.198
18.12.2020 05:00:00.000 GMT+0700,1885.198,1889.538,1877.275,1880.838
19.12.2020 05:00:00.000 GMT+0700,1880.838,1880.838,1880.838,1880.838
20.12.2020 05:00:00.000 GMT+0700,1880.838,1880.838,1880.838,1880.838
21.12.2020 05:00:00.000 GMT+0700,1883.818,1906.638,1854.955,1876.328
22.12.2020 05:00:00.000 GMT+0700,1876.818,1884.238,1858.845,1859.748
23.12.2020 05:00:00.000 GMT+0700,1859.225,1878.348,1856.938,1872.638
24.12.2020 05:00:00.000 GMT+0700,1872.538,1883.465,1869.378,1879.125
25.12.2020 05:00:00.000 GMT+0700,1879.125,1879.125,1879.125,1879.125
26.12.2020 05:00:00.000 GMT+0700,1879.125,1879.125,1879.125,1879.125
27.12.2020 05:00:00.000 GMT+0700,1879.125,1879.125,1879.125,1879.125
28.12.2020 05:00:00.000 GMT+0700,1882.921,1900.098,1869.018,1873.168
29.12.2020 05:00:00.000 GMT+0700,1872.918,1886.278,1871.595,1878.128
30.12.2020 05:00:00.000 GMT+0700,1877.388,1894.465,1875.965,1894.078
31.12.2020 05:00:00.000 GMT+0700,1894.138,1900.88,1885.308,1897.765
01.01.2021 05:00:00.000 GMT+0700,1897.765,1897.765,1897.765,1897.765
02.01.2021 05:00:00.000 GMT+0700,1897.765,1897.765,1897.765,1897.765
03.01.2021 05:00:00.000 GMT+0700,1897.765,1897.765,1897.765,1897.765
04.01.2021 05:00:00.000 GMT+0700,1904.998,1944.348,1903.288,1942.548
05.01.2021 05:00:00.000 GMT+0700,1941.228,1952.925,1934.178,1949.698
06.01.2021 05:00:00.000 GMT+0700,1949.978,1959.225,1900.755,1917.998
07.01.2021 05:00:00.000 GMT+0700,1918.558,1927.518,1906.705,1913.818
08.01.2021 05:00:00.000 GMT+0700,1913.828,1917.335,1828.038,1848.508
09.01.2021 05:00:00.000 GMT+0700,1848.508,1848.508,1848.508,1848.508
10.01.2021 05:00:00.000 GMT+0700,1848.508,1848.508,1848.508,1848.508
11.01.2021 05:00:00.000 GMT+0700,1849.163,1856.568,1816.888,1843.038
12.01.2021 05:00:00.000 GMT+0700,1844.638,1863.738,1836.558,1854.278
13.01.2021 05:00:00.000 GMT+0700,1854.328,1862.892,1841.808,1844.728
14.01.2021 05:00:00.000 GMT+0700,1845.232,1857.392,1828.518,1846.058
15.01.2021 05:00:00.000 GMT+0700,1845.198,1856.848,1823.235,1827.478
16.01.2021 05:00:00.000 GMT+0700,1827.478,1827.478,1827.478,1827.478
17.01.2021 05:00:00.000 GMT+0700,1827.478,1827.478,1827.478,1827.478
18.01.2021 05:00:00.000 GMT+0700,1828.608,1840.675,1802.948,1837.338
19.01.2021 05:00:00.000 GMT+0700,1837.558,1845.335,1832.843,1839.925
20.01.2021 05:00:00.000 GMT+0700,1839.712,1871.948,1832.272,1871.548
21.01.2021 05:00:00.000 GMT+0700,1870.517,1874.915,1858.131,1869.615
22.01.2021 05:00:00.000 GMT+0700,1869.192,1870.605,1837.195,1855.198
23.01.2021 05:00:00.000 GMT+0700,1855.198,1855.198,1855.198,1855.198
24.01.2021 05:00:00.000 GMT+0700,1855.198,1855.198,1855.198,1855.198
25.01.2021 05:00:00.000 GMT+0700,1854.187,1867.735,1847.025,1855.045
26.01.2021 05:00:00.000 GMT+0700,1854.983,1861.635,1848.345,1850.435
27.01.2021 05:00:00.000 GMT+0700,1849.908,1853.096,1831.227,1843.835
28.01.2021 05:00:00.000 GMT+0700,1843.467,1863.915,1833.925,1842.155
29.01.2021 05:00:00.000 GMT+0700,1842.542,1875.522,1839.418,1847.048
30.01.2021 05:00:00.000 GMT+0700,1847.048,1847.048,1847.048,1847.048
31.01.2021 05:00:00.000 GMT+0700,1847.048,1847.048,1847.048,1847.048
01.02.2021 05:00:00.000 GMT+0700,1863.422,1871.636,1848.892,1860.248
02.02.2021 05:00:00.000 GMT+0700,1860.026,1863.975,1829.317,1837.585
03.02.2021 05:00:00.000 GMT+0700,1836.827,1844.785,1829.368,1833.475
04.02.2021 05:00:00.000 GMT+0700,1833.258,1834.635,1784.888,1793.505
05.02.2021 05:00:00.000 GMT+0700,1794.024,1815.016,1791.905,1814.048
06.02.2021 05:00:00.000 GMT+0700,1814.048,1814.048,1814.048,1814.048
07.02.2021 05:00:00.000 GMT+0700,1814.048,1814.048,1814.048,1814.048
08.02.2021 05:00:00.000 GMT+0700,1816.958,1838.988,1807.665,1830.285
09.02.2021 05:00:00.000 GMT+0700,1830.233,1848.47,1828.785,1837.885
10.02.2021 05:00:00.000 GMT+0700,1837.322,1855.232,1833.915,1842.098
